,Nycticebus_coucang,Otolemur_garnettii,Daubentonia_madagascariensis,Propithecus_coquereli,Indri_indri,Cheirogaleus_medius,Microcebus_murinus,Mirza_coquereli,Lemur_catta,Eulemur_fulvus,Eulemur_flavifrons,Pithecia_pithecia,Callicebus_donacophilus,Saguinus_imperator,Callithrix_jacchus,Aotus_nancymaae,Saimiri_boliviensis,Cebus_albifrons,Cebus_capucinus,Alouatta_palliata,Ateles_geoffroyi,Mandrillus_leucophaeus,Cercocebus_atys,Papio_anubis,Macaca_mulatta,Macaca_fascicularis,Macaca_nemestrina,Erythrocebus_patas,Chlorocebus_sabaeus,Cercopithecus_neglectus,Rhinopithecus_roxellana,Rhinopithecus_bieti,Pygathrix_nemaeus,Nasalis_larvatus,Semnopithecus_entellus,Piliocolobus_tephrosceles,Colobus_angolensis,Nomascus_leucogenys,Gorilla_gorilla,Pan_troglodytes,Pan_paniscus,Homo_sapiens,Pongo_abelii,Carlito_syrichta,Galeopterus_variegatus,Tupaia_tana,Tupaia_chinensis,Oryctolagus_cuniculus,Lepus_americanus,Ochotona_princeps,Ctenodactylus_gundi,Petromus_typicus,Thryonomys_swinderianus,Heterocephalus_glaber,Fukomys_damarensis,Dolichotis_patagonum,Hydrochoerus_hydrochaeris,Cavia_tschudii,Cavia_porcellus,Cavia_aperea,Dasyprocta_punctata,Cuniculus_paca,Octodon_degus,Ctenomys_sociabilis,Myocastor_coypus,Capromys_pilorides,Chinchilla_lanigera,Dinomys_branickii,Hystrix_cristata,Rattus_norvegicus,Mus_musculus,Mus_spretus,Mus_caroli,Mus_pahari,Acomys_cahirinus,Meriones_unguiculatus,Psammomys_obesus,Mesocricetus_auratus,Cricetulus_griseus,Microtus_ochrogaster,Ondatra_zibethicus,Ellobius_talpinus,Ellobius_lutescens,Sigmodon_hispidus,Peromyscus_maniculatus,Onychomys_torridus,Cricetomys_gambianus,Nannospalax_galili,Jaculus_jaculus,Allactaga_bullata,Zapus_hudsonius,Perognathus_longimembris,Dipodomys_stephensi,Dipodomys_ordii,Castor_canadensis,Xerus_inauris,Spermophilus_dauricus,Ictidomys_tridecemlineatus,Marmota_marmota,Aplodontia_rufa,Muscardinus_avellanarius,Glis_glis,Graphiurus_murinus,Solenodon_paradoxus,Erinaceus_europaeus,Crocidura_indochinensis,Sorex_araneus,Uropsilus_gracilis,Condylura_cristata,Scalopus_aquaticus,Megaderma_lyra,Craseonycteris_thonglongyai,Hipposideros_armiger,Hipposideros_galeritus,Rhinolophus_sinicus,Macroglossus_sobrinus,Eidolon_helvum,Pteropus_vampyrus,Pteropus_alecto,Rousettus_aegyptiacus,Noctilio_leporinus,Pteronotus_parnellii,Mormoops_blainvillei,Carollia_perspicillata,Artibeus_jamaicensis,Anoura_caudifer,Tonatia_saurophila,Micronycteris_hirsuta,Desmodus_rotundus,Pipistrellus_pipistrellus,Eptesicus_fuscus,Lasiurus_borealis,Murina_feae,Myotis_myotis,Myotis_brandtii,Myotis_lucifugus,Myotis_davidii,Miniopterus_natalensis,Miniopterus_schreibersii,Tadarida_brasiliensis,Vicugna_pacos,Camelus_dromedarius,Camelus_ferus,Camelus_bactrianus,Hippopotamus_amphibius,Eubalaena_japonica,Balaenoptera_bonaerensis,Balaenoptera_acutorostrata,Eschrichtius_robustus,Kogia_breviceps,Platanista_gangetica,Mesoplodon_bidens,Ziphius_cavirostris,Inia_geoffrensis,Lipotes_vexillifer,Neophocaena_asiaeorientalis,Phocoena_phocoena,Delphinapterus_leucas,Monodon_monoceros,Tursiops_truncatus,Orcinus_orca,Tragulus_javanicus,Moschus_moschiferus,Bubalus_bubalis,Bos_taurus,Bos_indicus,Bos_mutus,Bison_bison,Beatragus_hunteri,Ammotragus_lervia,Hemitragus_hylocrius,Capra_hircus,Capra_aegagrus,Ovis_aries,Ovis_canadensis,Pantholops_hodgsonii,Saiga_tatarica,Okapia_johnstoni,Giraffa_tippelskirchi,Antilocapra_americana,Odocoileus_virginianus,Rangifer_tarandus,Elaphurus_davidianus,Catagonus_wagneri,Sus_scrofa,Cryptoprocta_ferox,Mungos_mungo,Suricata_suricatta,Helogale_parvula,Hyaena_hyaena,Paradoxurus_hermaphroditus,Panthera_tigris,Panthera_pardus,Panthera_onca,Felis_catus,Felis_nigripes,Puma_concolor,Acinonyx_jubatus,Lycaon_pictus,Canis_lupus,Canis_lupus_familiaris,Vulpes_lagopus,Pteronura_brasiliensis,Enhydra_lutris,Mustela_putorius,Mellivora_capensis,Ailurus_fulgens,Spilogale_gracilis,Zalophus_californianus,Odobenus_rosmarus,Leptonychotes_weddellii,Mirounga_angustirostris,Neomonachus_schauinslandi,Ailuropoda_melanoleuca,Ursus_maritimus,Manis_javanica,Manis_pentadactyla,Equus_caballus,Equus_przewalskii,Equus_asinus,Tapirus_indicus,Tapirus_terrestris,Dicerorhinus_sumatrensis,Diceros_bicornis,Ceratotherium_simum,Ceratotherium_simum_cottoni,Dasypus_novemcinctus,Tolypeutes_matacus,Chaetophractus_vellerosus,Tamandua_tetradactyla,Myrmecophaga_tridactyla,Choloepus_didactylus,Choloepus_hoffmanni,Trichechus_manatus,Procavia_capensis,Heterohyrax_brucei,Loxodonta_africana,Microgale_talazaci,Echinops_telfairi,Chrysochloris_asiatica,Elephantulus_edwardii,Orycteropus_afer
Ailuropoda_melanoleuca,0.60625,0.59344,0.62844,0.64912,0.64992,0.61983,0.65945,0.65864,0.60983,0.64804,0.64733,0.59739,0.59836,0.61272,0.60273,0.61681,0.60690,0.61698,0.61692,0.60898,0.60599,0.57582,0.57612,0.57680,0.58534,0.58465,0.57336,0.57703,0.57721,0.57862,0.58947,0.58970,0.58977,0.58054,0.57977,0.58078,0.57979,0.56588,0.56773,0.56513,0.56510,0.56470,0.57135,0.54651,0.49893,0.54330,0.53220,0.59188,0.60623,0.63161,0.48730,0.72639,0.72443,0.70036,0.72229,0.74865,0.74830,0.73473,0.73441,0.74115,0.74410,0.72531,0.74972,0.77188,0.76901,0.77192,0.72326,0.74613,0.67341,0.81307,0.81346,0.81918,0.81463,0.81207,0.81842,0.82583,0.78561,0.70958,0.67201,0.67557,0.68672,0.68562,0.68514,0.69040,0.67048,0.67083,0.66166,0.70021,0.59451,0.61344,0.60791,0.51936,0.51100,0.50985,0.49624,0.46950,0.65051,0.50190,0.51907,0.58605,0.48936,0.46950,0.50307,0.36434,0.54838,0.47707,0.60149,0.38538,0.54458,0.56728,0.54513,0.43921,0.42540,0.45546,0.45196,0.39763,0.40626,0.43495,0.41124,0.41753,0.36948,0.47028,0.48129,0.39503,0.45496,0.38889,0.44022,0.38056,0.43233,0.42918,0.42024,0.42155,0.47978,0.47569,0.48653,0.47935,0.45379,0.47075,0.47035,0.45908,0.50234,0.46312,0.46407,0.46265,0.41620,0.41657,0.41775,0.41800,0.41784,0.42981,0.44842,0.44649,0.44631,0.44515,0.44578,0.44341,0.44398,0.44305,0.44302,0.48248,0.44139,0.43799,0.45923,0.44909,0.45291,0.45120,0.45572,0.44472,0.47506,0.47360,0.47880,0.48415,0.48255,0.47121,0.46754,0.46810,0.49238,0.46932,0.45208,0.43740,0.43406,0.43751,0.43343,0.52735,0.51226,0.20547,0.19873,0.21790,0.20604,0.17741,0.16780,0.16171,0.16253,0.16139,0.17288,0.17259,0.17189,0.16105,0.13998,0.13805,0.13743,0.14634,0.14965,0.14731,0.14908,0.14784,0.13488,0.13099,0.11952,0.11987,0.13688,0.12906,0.11883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursus_maritimus,0.61747,0.60466,0.63966,0.66034,0.66114,0.63105,0.67067,0.66986,0.62105,0.65926,0.65855,0.60861,0.60958,0.62394,0.61395,0.62803,0.61812,0.62820,0.62814,0.62020,0.61721,0.58704,0.58734,0.58802,0.59656,0.59587,0.58458,0.58825,0.58843,0.58984,0.60069,0.60092,0.60099,0.59176,0.59099,0.59200,0.59101,0.57710,0.57895,0.57635,0.57632,0.57592,0.58257,0.55773,0.51015,0.55452,0.54342,0.60310,0.61745,0.64283,0.49852,0.73761,0.73565,0.71158,0.73351,0.75987,0.75952,0.74595,0.74563,0.75237,0.75532,0.73653,0.76094,0.78310,0.78023,0.78314,0.73448,0.75735,0.68463,0.82429,0.82468,0.83040,0.82585,0.82329,0.82964,0.83705,0.79683,0.72080,0.68323,0.68679,0.69794,0.69684,0.69636,0.70162,0.68170,0.68205,0.67288,0.71143,0.60573,0.62466,0.61913,0.53058,0.52222,0.52107,0.50746,0.48072,0.66173,0.51312,0.53029,0.59727,0.50058,0.48072,0.51429,0.37556,0.55960,0.48829,0.61271,0.39660,0.55580,0.57850,0.55635,0.45043,0.43662,0.46668,0.46318,0.40885,0.41748,0.44617,0.42246,0.42875,0.38070,0.48150,0.49251,0.40625,0.46618,0.40011,0.45144,0.39178,0.44355,0.44040,0.43146,0.43277,0.49100,0.48691,0.49775,0.49057,0.46501,0.48197,0.48157,0.47030,0.51356,0.47434,0.47529,0.47387,0.42742,0.42779,0.42897,0.42922,0.42906,0.44103,0.45964,0.45771,0.45753,0.45637,0.45700,0.45463,0.45520,0.45427,0.45424,0.49370,0.45261,0.44921,0.47045,0.46031,0.46413,0.46242,0.46694,0.45594,0.48628,0.48482,0.49002,0.49537,0.49377,0.48243,0.47876,0.47932,0.50360,0.48054,0.46330,0.44862,0.44528,0.44873,0.44465,0.53857,0.52348,0.21669,0.20995,0.22912,0.21726,0.18863,0.17902,0.17293,0.17375,0.17261,0.18410,0.18381,0.18311,0.17227,0.15120,0.14927,0.14865,0.15756,0.16087,0.15853,0.16030,0.15906,0.14610,0.14221,0.13074,0.13109,0.14810,0.14028,0.13005,0.03414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manis_javanica,0.49534,0.48253,0.51753,0.53821,0.53901,0.50892,0.54854,0.54773,0.49892,0.53713,0.53642,0.48648,0.48745,0.50181,0.49182,0.50590,0.49599,0.50607,0.50601,0.49807,0.49508,0.46491,0.46521,0.46589,0.47443,0.47374,0.46245,0.46612,0.46630,0.46771,0.47856,0.47879,0.47886,0.46963,0.46886,0.46987,0.46888,0.45497,0.45682,0.45422,0.45419,0.45379,0.46044,0.43560,0.38802,0.43239,0.42129,0.48097,0.49532,0.52070,0.37639,0.61548,0.61352,0.58945,0.61138,0.63774,0.63739,0.62382,0.62350,0.63024,0.63319,0.61440,0.63881,0.66097,0.65810,0.66101,0.61235,0.63522,0.56250,0.70216,0.70255,0.70827,0.70372,0.70116,0.70751,0.71492,0.67470,0.59867,0.56110,0.56466,0.57581,0.57471,0.57423,0.57949,0.55957,0.55992,0.55075,0.58930,0.48360,0.50253,0.49700,0.40845,0.40009,0.39894,0.38533,0.35859,0.53960,0.39099,0.40816,0.47514,0.37845,0.35859,0.39216,0.25343,0.43747,0.36616,0.49058,0.27447,0.43367,0.45637,0.43422,0.32830,0.31449,0.34455,0.34105,0.28672,0.29535,0.32404,0.30033,0.30662,0.25857,0.35937,0.37038,0.28412,0.34405,0.27798,0.32931,0.26965,0.32142,0.31827,0.30933,0.31064,0.36887,0.36478,0.37562,0.36844,0.34288,0.35984,0.35944,0.34817,0.39143,0.35221,0.35316,0.35174,0.30529,0.30566,0.30684,0.30709,0.30693,0.31890,0.33751,0.33558,0.33540,0.33424,0.33487,0.33250,0.33307,0.33214,0.33211,0.37157,0.33048,0.32708,0.34832,0.33818,0.34200,0.34029,0.34481,0.33381,0.36415,0.36269,0.36789,0.37324,0.37164,0.36030,0.35663,0.35719,0.38147,0.35841,0.34117,0.32649,0.32315,0.32660,0.32252,0.41644,0.40135,0.32370,0.31696,0.33613,0.32427,0.29564,0.28603,0.27994,0.28076,0.27962,0.29111,0.29082,0.29012,0.27928,0.27821,0.27628,0.27566,0.28457,0.30788,0.30554,0.30731,0.30607,0.29311,0.28922,0.27775,0.27810,0.29511,0.28729,0.27706,0.32115,0.33237,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manis_pentadactyla,0.49710,0.48429,0.51929,0.53997,0.54077,0.51068,0.55030,0.54949,0.50068,0.53889,0.53818,0.48824,0.48921,0.50357,0.49358,0.50766,0.49775,0.50783,0.50777,0.49983,0.49684,0.46667,0.46697,0.46765,0.47619,0.47550,0.46421,0.46788,0.46806,0.46947,0.48032,0.48055,0.48062,0.47139,0.47062,0.47163,0.47064,0.45673,0.45858,0.45598,0.45595,0.45555,0.46220,0.43736,0.38978,0.43415,0.42305,0.48273,0.49708,0.52246,0.37815,0.61724,0.61528,0.59121,0.61314,0.63950,0.63915,0.62558,0.62526,0.63200,0.63495,0.61616,0.64057,0.66273,0.65986,0.66277,0.61411,0.63698,0.56426,0.70392,0.70431,0.71003,0.70548,0.70292,0.70927,0.71668,0.67646,0.60043,0.56286,0.56642,0.57757,0.57647,0.57599,0.58125,0.56133,0.56168,0.55251,0.59106,0.48536,0.50429,0.49876,0.41021,0.40185,0.40070,0.38709,0.36035,0.54136,0.39275,0.40992,0.47690,0.38021,0.36035,0.39392,0.25519,0.43923,0.36792,0.49234,0.27623,0.43543,0.45813,0.43598,0.33006,0.31625,0.34631,0.34281,0.28848,0.29711,0.32580,0.30209,0.30838,0.26033,0.36113,0.37214,0.28588,0.34581,0.27974,0.33107,0.27141,0.32318,0.32003,0.31109,0.31240,0.37063,0.36654,0.37738,0.37020,0.34464,0.36160,0.36120,0.34993,0.39319,0.35397,0.35492,0.35350,0.30705,0.30742,0.30860,0.30885,0.30869,0.32066,0.33927,0.33734,0.33716,0.33600,0.33663,0.33426,0.33483,0.33390,0.33387,0.37333,0.33224,0.32884,0.35008,0.33994,0.34376,0.34205,0.34657,0.33557,0.36591,0.36445,0.36965,0.37500,0.37340,0.36206,0.35839,0.35895,0.38323,0.36017,0.34293,0.32825,0.32491,0.32836,0.32428,0.41820,0.40311,0.32546,0.31872,0.33789,0.32603,0.29740,0.28779,0.28170,0.28252,0.28138,0.29287,0.29258,0.29188,0.28104,0.27997,0.27804,0.27742,0.28633,0.30964,0.30730,0.30907,0.30783,0.29487,0.29098,0.27951,0.27986,0.29687,0.28905,0.27882,0.32291,0.33413,0.03858,,,,,,,,,,,,,,,,,,,,,,,,,,
Equus_caballus,0.53968,0.52687,0.56187,0.58255,0.58335,0.55326,0.59288,0.59207,0.54326,0.58147,0.58076,0.53082,0.53179,0.54615,0.53616,0.55024,0.54033,0.55041,0.55035,0.54241,0.53942,0.50925,0.50955,0.51023,0.51877,0.51808,0.50679,0.51046,0.51064,0.51205,0.52290,0.52313,0.52320,0.51397,0.51320,0.51421,0.51322,0.49931,0.50116,0.49856,0.49853,0.49813,0.50478,0.47994,0.43236,0.47673,0.46563,0.52531,0.53966,0.56504,0.42073,0.65982,0.65786,0.63379,0.65572,0.68208,0.68173,0.66816,0.66784,0.67458,0.67753,0.65874,0.68315,0.70531,0.70244,0.70535,0.65669,0.67956,0.60684,0.74650,0.74689,0.75261,0.74806,0.74550,0.75185,0.75926,0.71904,0.64301,0.60544,0.60900,0.62015,0.61905,0.61857,0.62383,0.60391,0.60426,0.59509,0.63364,0.52794,0.54687,0.54134,0.45279,0.44443,0.44328,0.42967,0.40293,0.58394,0.43533,0.45250,0.51948,0.42279,0.40293,0.43650,0.29777,0.48181,0.41050,0.53492,0.31881,0.47801,0.50071,0.47856,0.37264,0.35883,0.38889,0.38539,0.33106,0.33969,0.36838,0.34467,0.35096,0.30291,0.40371,0.41472,0.32846,0.38839,0.32232,0.37365,0.31399,0.36576,0.36261,0.35367,0.35498,0.41321,0.40912,0.41996,0.41278,0.38722,0.40418,0.40378,0.39251,0.43577,0.39655,0.39750,0.39608,0.34963,0.35000,0.35118,0.35143,0.35127,0.36324,0.38185,0.37992,0.37974,0.37858,0.37921,0.37684,0.37741,0.37648,0.37645,0.41591,0.37482,0.37142,0.39266,0.38252,0.38634,0.38463,0.38915,0.37815,0.40849,0.40703,0.41223,0.41758,0.41598,0.40464,0.40097,0.40153,0.42581,0.40275,0.38551,0.37083,0.36749,0.37094,0.36686,0.46078,0.44569,0.38804,0.38130,0.40047,0.38861,0.35998,0.35037,0.34428,0.34510,0.34396,0.35545,0.35516,0.35446,0.34362,0.34255,0.34062,0.34000,0.34891,0.37222,0.36988,0.37165,0.37041,0.35745,0.35356,0.34209,0.34244,0.35945,0.35163,0.34140,0.38549,0.39671,0.27458,0.27634,,,,,,,,,,,,,,,,,,,,,,,,,
Equus_przewalskii,0.54042,0.52761,0.56261,0.58329,0.58409,0.55400,0.59362,0.59281,0.54400,0.58221,0.58150,0.53156,0.53253,0.54689,0.53690,0.55098,0.54107,0.55115,0.55109,0.54315,0.54016,0.50999,0.51029,0.51097,0.51951,0.51882,0.50753,0.51120,0.51138,0.51279,0.52364,0.52387,0.52394,0.51471,0.51394,0.51495,0.51396,0.50005,0.50190,0.49930,0.49927,0.49887,0.50552,0.48068,0.43310,0.47747,0.46637,0.52605,0.54040,0.56578,0.42147,0.66056,0.65860,0.63453,0.65646,0.68282,0.68247,0.66890,0.66858,0.67532,0.67827,0.65948,0.68389,0.70605,0.70318,0.70609,0.65743,0.68030,0.60758,0.74724,0.74763,0.75335,0.74880,0.74624,0.75259,0.76000,0.71978,0.64375,0.60618,0.60974,0.62089,0.61979,0.61931,0.62457,0.60465,0.60500,0.59583,0.63438,0.52868,0.54761,0.54208,0.45353,0.44517,0.44402,0.43041,0.40367,0.58468,0.43607,0.45324,0.52022,0.42353,0.40367,0.43724,0.29851,0.48255,0.41124,0.53566,0.31955,0.47875,0.50145,0.47930,0.37338,0.35957,0.38963,0.38613,0.33180,0.34043,0.36912,0.34541,0.35170,0.30365,0.40445,0.41546,0.32920,0.38913,0.32306,0.37439,0.31473,0.36650,0.36335,0.35441,0.35572,0.41395,0.40986,0.42070,0.41352,0.38796,0.40492,0.40452,0.39325,0.43651,0.39729,0.39824,0.39682,0.35037,0.35074,0.35192,0.35217,0.35201,0.36398,0.38259,0.38066,0.38048,0.37932,0.37995,0.37758,0.37815,0.37722,0.37719,0.41665,0.37556,0.37216,0.39340,0.38326,0.38708,0.38537,0.38989,0.37889,0.40923,0.40777,0.41297,0.41832,0.41672,0.40538,0.40171,0.40227,0.42655,0.40349,0.38625,0.37157,0.36823,0.37168,0.36760,0.46152,0.44643,0.38878,0.38204,0.40121,0.38935,0.36072,0.35111,0.34502,0.34584,0.34470,0.35619,0.35590,0.35520,0.34436,0.34329,0.34136,0.34074,0.34965,0.37296,0.37062,0.37239,0.37115,0.35819,0.35430,0.34283,0.34318,0.36019,0.35237,0.34214,0.38623,0.39745,0.27532,0.27708,0.00346,,,,,,,,,,,,,,,,,,,,,,,,
Equus_asinus,0.54289,0.53008,0.56508,0.58576,0.58656,0.55647,0.59609,0.59528,0.54647,0.58468,0.58397,0.53403,0.53500,0.54936,0.53937,0.55345,0.54354,0.55362,0.55356,0.54562,0.54263,0.51246,0.51276,0.51344,0.52198,0.52129,0.51000,0.51367,0.51385,0.51526,0.52611,0.52634,0.52641,0.51718,0.51641,0.51742,0.51643,0.50252,0.50437,0.50177,0.50174,0.50134,0.50799,0.48315,0.43557,0.47994,0.46884,0.52852,0.54287,0.56825,0.42394,0.66303,0.66107,0.63700,0.65893,0.68529,0.68494,0.67137,0.67105,0.67779,0.68074,0.66195,0.68636,0.70852,0.70565,0.70856,0.65990,0.68277,0.61005,0.74971,0.75010,0.75582,0.75127,0.74871,0.75506,0.76247,0.72225,0.64622,0.60865,0.61221,0.62336,0.62226,0.62178,0.62704,0.60712,0.60747,0.59830,0.63685,0.53115,0.55008,0.54455,0.45600,0.44764,0.44649,0.43288,0.40614,0.58715,0.43854,0.45571,0.52269,0.42600,0.40614,0.43971,0.30098,0.48502,0.41371,0.53813,0.32202,0.48122,0.50392,0.48177,0.37585,0.36204,0.39210,0.38860,0.33427,0.34290,0.37159,0.34788,0.35417,0.30612,0.40692,0.41793,0.33167,0.39160,0.32553,0.37686,0.31720,0.36897,0.36582,0.35688,0.35819,0.41642,0.41233,0.42317,0.41599,0.39043,0.40739,0.40699,0.39572,0.43898,0.39976,0.40071,0.39929,0.35284,0.35321,0.35439,0.35464,0.35448,0.36645,0.38506,0.38313,0.38295,0.38179,0.38242,0.38005,0.38062,0.37969,0.37966,0.41912,0.37803,0.37463,0.39587,0.38573,0.38955,0.38784,0.39236,0.38136,0.41170,0.41024,0.41544,0.42079,0.41919,0.40785,0.40418,0.40474,0.42902,0.40596,0.38872,0.37404,0.37070,0.37415,0.37007,0.46399,0.44890,0.39125,0.38451,0.40368,0.39182,0.36319,0.35358,0.34749,0.34831,0.34717,0.35866,0.35837,0.35767,0.34683,0.34576,0.34383,0.34321,0.35212,0.37543,0.37309,0.37486,0.37362,0.36066,0.35677,0.34530,0.34565,0.36266,0.35484,0.34461,0.38870,0.39992,0.27779,0.27955,0.01233,0.01307,,,,,,,,,,,,,,,,,,,,,,,
Tapirus_indicus,0.49249,0.47968,0.51468,0.53536,0.53616,0.50607,0.54569,0.54488,0.49607,0.53428,0.53357,0.48363,0.48460,0.49896,0.48897,0.50305,0.49314,0.50322,0.50316,0.49522,0.49223,0.46206,0.46236,0.46304,0.47158,0.47089,0.45960,0.46327,0.46345,0.46486,0.47571,0.47594,0.47601,0.46678,0.46601,0.46702,0.46603,0.45212,0.45397,0.45137,0.45134,0.45094,0.45759,0.43275,0.38517,0.42954,0.41844,0.47812,0.49247,0.51785,0.37354,0.61263,0.61067,0.58660,0.60853,0.63489,0.63454,0.62097,0.62065,0.62739,0.63034,0.61155,0.63596,0.65812,0.65525,0.65816,0.60950,0.63237,0.55965,0.69931,0.69970,0.70542,0.70087,0.69831,0.70466,0.71207,0.67185,0.59582,0.55825,0.56181,0.57296,0.57186,0.57138,0.57664,0.55672,0.55707,0.54790,0.58645,0.48075,0.49968,0.49415,0.40560,0.39724,0.39609,0.38248,0.35574,0.53675,0.38814,0.40531,0.47229,0.37560,0.35574,0.38931,0.25058,0.43462,0.36331,0.48773,0.27162,0.43082,0.45352,0.43137,0.32545,0.31164,0.34170,0.33820,0.28387,0.29250,0.32119,0.29748,0.30377,0.25572,0.35652,0.36753,0.28127,0.34120,0.27513,0.32646,0.26680,0.31857,0.31542,0.30648,0.30779,0.36602,0.36193,0.37277,0.36559,0.34003,0.35699,0.35659,0.34532,0.38858,0.34936,0.35031,0.34889,0.30244,0.30281,0.30399,0.30424,0.30408,0.31605,0.33466,0.33273,0.33255,0.33139,0.33202,0.32965,0.33022,0.32929,0.32926,0.36872,0.32763,0.32423,0.34547,0.33533,0.33915,0.33744,0.34196,0.33096,0.36130,0.35984,0.36504,0.37039,0.36879,0.35745,0.35378,0.35434,0.37862,0.35556,0.33832,0.32364,0.32030,0.32375,0.31967,0.41359,0.39850,0.34085,0.33411,0.35328,0.34142,0.31279,0.30318,0.29709,0.29791,0.29677,0.30826,0.30797,0.30727,0.29643,0.29536,0.29343,0.29281,0.30172,0.32503,0.32269,0.32446,0.32322,0.31026,0.30637,0.29490,0.29525,0.31226,0.30444,0.29421,0.33830,0.34952,0.22739,0.22915,0.25173,0.25247,0.25494,,,,,,,,,,,,,,,,,,,,,,
Tapirus_terrestris,0.49377,0.48096,0.51596,0.53664,0.53744,0.50735,0.54697,0.54616,0.49735,0.53556,0.53485,0.48491,0.48588,0.50024,0.49025,0.50433,0.49442,0.50450,0.50444,0.49650,0.49351,0.46334,0.46364,0.46432,0.47286,0.47217,0.46088,0.46455,0.46473,0.46614,0.47699,0.47722,0.47729,0.46806,0.46729,0.46830,0.46731,0.45340,0.45525,0.45265,0.45262,0.45222,0.45887,0.43403,0.38645,0.43082,0.41972,0.47940,0.49375,0.51913,0.37482,0.61391,0.61195,0.58788,0.60981,0.63617,0.63582,0.62225,0.62193,0.62867,0.63162,0.61283,0.63724,0.65940,0.65653,0.65944,0.61078,0.63365,0.56093,0.70059,0.70098,0.70670,0.70215,0.69959,0.70594,0.71335,0.67313,0.59710,0.55953,0.56309,0.57424,0.57314,0.57266,0.57792,0.55800,0.55835,0.54918,0.58773,0.48203,0.50096,0.49543,0.40688,0.39852,0.39737,0.38376,0.35702,0.53803,0.38942,0.40659,0.47357,0.37688,0.35702,0.39059,0.25186,0.43590,0.36459,0.48901,0.27290,0.43210,0.45480,0.43265,0.32673,0.31292,0.34298,0.33948,0.28515,0.29378,0.32247,0.29876,0.30505,0.25700,0.35780,0.36881,0.28255,0.34248,0.27641,0.32774,0.26808,0.31985,0.31670,0.30776,0.30907,0.36730,0.36321,0.37405,0.36687,0.34131,0.35827,0.35787,0.34660,0.38986,0.35064,0.35159,0.35017,0.30372,0.30409,0.30527,0.30552,0.30536,0.31733,0.33594,0.33401,0.33383,0.33267,0.33330,0.33093,0.33150,0.33057,0.33054,0.37000,0.32891,0.32551,0.34675,0.33661,0.34043,0.33872,0.34324,0.33224,0.36258,0.36112,0.36632,0.37167,0.37007,0.35873,0.35506,0.35562,0.37990,0.35684,0.33960,0.32492,0.32158,0.32503,0.32095,0.41487,0.39978,0.34213,0.33539,0.35456,0.34270,0.31407,0.30446,0.29837,0.29919,0.29805,0.30954,0.30925,0.30855,0.29771,0.29664,0.29471,0.29409,0.30300,0.32631,0.32397,0.32574,0.32450,0.31154,0.30765,0.29618,0.29653,0.31354,0.30572,0.29549,0.33958,0.35080,0.22867,0.23043,0.25301,0.25375,0.25622,0.02524,,,,,,,,,,,,,,,,,,,,,
Dicerorhinus_sumatrensis,0.48361,0.47080,0.50580,0.52648,0.52728,0.49719,0.53681,0.53600,0.48719,0.52540,0.52469,0.47475,0.47572,0.49008,0.48009,0.49417,0.48426,0.49434,0.49428,0.48634,0.48335,0.45318,0.45348,0.45416,0.46270,0.46201,0.45072,0.45439,0.45457,0.45598,0.46683,0.46706,0.46713,0.45790,0.45713,0.45814,0.45715,0.44324,0.44509,0.44249,0.44246,0.44206,0.44871,0.42387,0.37629,0.42066,0.40956,0.46924,0.48359,0.50897,0.36466,0.60375,0.60179,0.57772,0.59965,0.62601,0.62566,0.61209,0.61177,0.61851,0.62146,0.60267,0.62708,0.64924,0.64637,0.64928,0.60062,0.62349,0.55077,0.69043,0.69082,0.69654,0.69199,0.68943,0.69578,0.70319,0.66297,0.58694,0.54937,0.55293,0.56408,0.56298,0.56250,0.56776,0.54784,0.54819,0.53902,0.57757,0.47187,0.49080,0.48527,0.39672,0.38836,0.38721,0.37360,0.34686,0.52787,0.37926,0.39643,0.46341,0.36672,0.34686,0.38043,0.24170,0.42574,0.35443,0.47885,0.26274,0.42194,0.44464,0.42249,0.31657,0.30276,0.33282,0.32932,0.27499,0.28362,0.31231,0.28860,0.29489,0.24684,0.34764,0.35865,0.27239,0.33232,0.26625,0.31758,0.25792,0.30969,0.30654,0.29760,0.29891,0.35714,0.35305,0.36389,0.35671,0.33115,0.34811,0.34771,0.33644,0.37970,0.34048,0.34143,0.34001,0.29356,0.29393,0.29511,0.29536,0.29520,0.30717,0.32578,0.32385,0.32367,0.32251,0.32314,0.32077,0.32134,0.32041,0.32038,0.35984,0.31875,0.31535,0.33659,0.32645,0.33027,0.32856,0.33308,0.32208,0.35242,0.35096,0.35616,0.36151,0.35991,0.34857,0.34490,0.34546,0.36974,0.34668,0.32944,0.31476,0.31142,0.31487,0.31079,0.40471,0.38962,0.33197,0.32523,0.34440,0.33254,0.30391,0.29430,0.28821,0.28903,0.28789,0.29938,0.29909,0.29839,0.28755,0.28648,0.28455,0.28393,0.29284,0.31615,0.31381,0.31558,0.31434,0.30138,0.29749,0.28602,0.28637,0.30338,0.29556,0.28533,0.32942,0.34064,0.21851,0.22027,0.24285,0.24359,0.24606,0.05392,0.05520,,,,,,,,,,,,,,,,,,,,
